,Symbol,Name,Sector,Industry
661,060980,한라홀딩스,기타 금융업,지주회사 및 경영컨설팅 서비스업
662,020000,한섬,봉제의복 제조업,"여성의류,금속 액세서리,신발,가방,선글라스 제조,판매"
663,004150,한솔홀딩스,기타 금융업,"지주회사,경영자문컨설팅"
664,011700,한신기계공업,일반 목적용 기계 제조업,"공기압축기,공구류 제조,판매/오파"
665,006390,한일현대시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트,시멘트반제품 제조,판매/콘도미니엄,스키장,종합레저관광산업,체육진흥사업,사업서비스"
666,000880,한화,기타 화학제품 제조업,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고"
667,012450,한화에어로스페이스,"항공기,우주선 및 부품 제조업","항공기엔진,특수방산장비 제조/정비사업"
668,005440,현대그린푸드,종합 소매업,"백화점,여행알선,숙박,음식점/부동산 임대"
669,267250,현대중공업지주,기타 금융업,"산업용 로봇, 클린용 로봇, 조선 기자재 등"
670,094280,효성 ITX,기타 사업지원 서비스업,"컨택센터서비스, Cloud솔루션, CDN, 프로젝터판매"
671,298000,효성화학,기초 화학물질 제조업,-
672,005870,휴니드테크놀러지스,통신 및 방송 장비 제조업,"무선통신기기,군납용무전기,위성방송수신기 제조"
673,211270,AP위성,통신 및 방송 장비 제조업,위성통신 단말기
674,299170,IBKS제10호스팩,금융 지원 서비스업,기업인수합병
675,950170,JTC,종합 소매업,"식품류, 생활용품류, 화장품류 (사후면세업)"
676,021320,KCC건설,건물 건설업,"토목 건축공사, 분양공사"
677,036670,KCI,기타 화학제품 제조업,"폴리머,레진,계면활성제"
678,151860,KG ETS,폐기물 처리업,"집단에너지(스팀), 산화동, 폐기물 소각"
679,219550,MP한강,생활용품 도매업,기업인수합병
680,104200,NHN벅스,소프트웨어 개발 및 공급업,"디지털음원유통, 온라인음악서비스"
