Date,Open,High,Low,Close,Volume,Change
2012-10-26,95593,95755,95574,95757,652,0.0017051279368998085
2012-10-29,95760,95798,95755,95801,46,0.0004594964336810392
2012-10-30,95803,95803,95609,95801,753,0.0
2012-10-31,95675,95957,95675,95817,330,0.00016701287042941715
2012-11-01,95821,95948,95821,95950,44,0.0013880626611144642
2012-11-02,95834,95834,95672,95722,2210,-0.0023762376237623783
2012-11-05,95777,95923,95663,95673,540,-0.0005118990409728186
2012-11-06,95690,95794,95690,95762,112,0.000930252004222698
2012-11-07,95680,95715,95680,95718,525,-0.00045947244209598725
2012-11-08,95764,95992,95764,95990,1133,0.002841680770596877
2012-11-09,95957,96040,95923,95924,385,-0.0006875716220439143
2012-11-12,95777,95873,95733,95735,230,-0.0019703098286143472
2012-11-13,95719,95935,95719,95938,201,0.0021204366219251813
2012-11-14,95930,95935,95838,95938,53,0.0
2012-11-15,95882,96101,95882,96059,580,0.0012612312118243096
2012-11-16,96036,96036,95923,95972,342,-0.0009056933759460373
2012-11-19,95552,95938,95552,95872,75,-0.0010419705747509722
2012-11-20,95927,95927,95789,95793,248,-0.0008240153538050521
2012-11-21,95834,95869,95715,95872,831,0.0008246949150771954
2012-11-22,95817,95821,95680,95822,1139,-0.0005215287049399331
2012-11-23,95733,95760,95491,95613,305,-0.002181127507253078
2012-11-26,95557,95675,95557,95678,9565,0.0006798238733227713
2012-11-27,95635,95706,95499,95508,457,-0.0017767929931645776
2012-11-28,95526,95745,95526,95705,293,0.0020626544373245626
2012-11-29,95719,95785,95619,95620,254,-0.0008881458648973828
2012-11-30,95701,95838,95701,95705,522,0.0008889353691696744
2012-12-03,95685,95685,95565,95643,308,-0.0006478240426309734
2012-12-04,95738,95738,95605,95608,583,-0.00036594418828350683
2012-12-05,99172,99172,95304,95305,454,-0.0031691908626892973
2012-12-06,95308,95358,95308,95342,88,0.0003882272703426004
2012-12-07,95358,95569,95358,95572,181,0.00241236810639589
2012-12-10,95464,95464,95249,95325,919,-0.002584438957016655
2012-12-11,95313,95331,95300,95325,300,0.0
2012-12-12,95208,95262,95203,95265,114,-0.0006294256490951833
2012-12-13,95331,95331,95048,95068,475,-0.002067915813782628
2012-12-14,95165,95165,94919,94921,96,-0.0015462616232591042
2012-12-17,95019,95028,94901,94958,7500,0.0003897978318812001
2012-12-18,94905,94905,94718,94720,185,-0.0025063712378103897
2012-12-20,94726,94755,94700,94701,204,-0.0002005912162161838
2012-12-21,94750,94809,94668,94802,1253,0.0010665146091382027
2012-12-24,94755,94846,94755,94812,321,0.00010548300668755672
2012-12-26,94512,94512,94380,94412,142,-0.004218875247858911
2012-12-27,94457,94635,94433,94637,671,0.0023831716307249895
2012-12-28,94772,95139,94772,95118,2065,0.005082578695436268
2013-01-02,95057,95057,94617,94807,632,-0.0032696229945962108
2013-01-03,94804,95381,94804,95374,199,0.005980571054879924
2013-01-04,95240,95378,95240,95378,58,4.194015140401852e-05
2013-01-07,95349,95500,95349,95503,372,0.0013105747656692035
2013-01-08,94589,95807,94589,95810,252,0.0032145587049621227
2013-01-09,95715,95849,95661,95850,207,0.0004174929548064199
2013-01-10,95930,96110,95903,96039,256,0.001971830985915579
2013-01-11,95766,95918,95766,95918,661,-0.0012599048303293392
2013-01-14,96402,96402,95789,95891,171,-0.00028149043975067567
2013-01-15,95886,96090,95876,96070,217,0.0018667028188255053
2013-01-16,96110,96110,96110,96111,1,0.0004267721453106166
2013-01-17,96110,96516,96110,96317,132,0.0021433550790233014
2013-01-18,96147,96147,96036,96138,23,-0.001858446587829743
2013-01-21,95752,96274,95752,96202,195,0.0006657097089599606
2013-01-22,96003,96201,96003,96202,106,0.0
2013-01-23,96191,96191,95967,96084,86,-0.0012265857258685342
2013-01-24,96137,96260,96128,96263,456,0.00186295324924024
2013-01-25,96260,96320,96260,96322,329,0.0006129042311169286
2013-01-28,96635,96635,96064,96331,230,9.34365980773677e-05
2013-01-29,96085,96085,95817,95896,73,-0.004515680310595793
2013-01-30,95784,95784,95555,95625,871,-0.002825978142988239
2013-01-31,95793,95826,95588,95827,57,0.0021124183006535624
2013-02-01,95835,95835,95437,95548,27,-0.0029114967597858588
2013-02-04,95469,95469,95349,95352,209,-0.0020513249884874796
2013-02-05,95666,95876,95666,95878,273,0.005516402382750307
2013-02-06,95866,95866,95866,95869,3,-9.386929222554574e-05
2013-02-07,95903,96191,95903,96106,591,0.002472123418414629
2013-02-08,95944,96110,95944,95983,265,-0.0012798368468149857
2013-02-12,95982,96232,95982,96235,78,0.002625464926080623
2013-02-13,95954,95954,95898,95901,177,-0.0034706707538837422
2013-02-14,95835,95908,95835,95911,7,0.0001042741994348173
2013-02-15,96045,96045,95967,95969,26,0.0006047272992670827
2013-02-18,95986,96050,95986,96052,14,0.0008648626118850089
2013-02-19,96081,96178,96081,96180,11,0.001332611502103065
2013-02-20,96215,96293,96054,96170,535,-0.00010397171969223074
2013-02-21,96366,99382,96362,99384,103,0.03341998544244573
2013-02-22,96362,96366,96333,96358,103,-0.030447556950817023
2013-02-25,96526,96526,96526,96528,15,0.0017642541356193142
2013-02-26,96667,96772,96566,96687,734,0.0016471904525112713
2013-02-27,97049,97049,96859,97023,67,0.003475131093114925
2013-02-28,97020,97089,96855,96990,951,-0.0003401255372437184
2013-03-04,96988,97015,96859,96954,573,-0.0003711722858026345
2013-03-05,96952,97057,96952,97018,354,0.0006601068547971156
2013-03-06,97006,97112,96869,96971,103,-0.00048444618524401406
2013-03-07,96928,96928,96672,96675,42,-0.00305245898258244
2013-03-08,96659,96677,96566,96642,455,-0.00034134988363077046
2013-03-11,96548,96604,96342,96605,97,-0.00038285631505974305
2013-03-12,96548,96923,96548,96927,13,0.003333160809481983
2013-03-13,96933,96933,96933,96935,4,8.25363417829017e-05
2013-03-14,96933,96933,96809,96872,18,-0.0006499200495176938
2013-03-15,97049,97140,96933,97141,183,0.0027768601866380305
2013-03-18,97194,97378,97194,97361,293,0.0022647491790284136
2013-03-19,97236,97436,97231,97412,781,0.0005238237076448105
2013-03-20,97350,97409,97273,97273,71,-0.0014269289204615898
2013-03-21,97112,97345,97102,97347,112,0.0007607455306199995
2013-03-22,97409,97409,97409,97412,10,0.0006677144647497801
2013-03-25,97409,97451,97409,97452,140,0.00041062702747085567
