Date,Open,High,Low,Close,Volume,Change
2015-10-28,23604,23604,23417,23589,3629913,-0.0006354855109304003
2015-10-29,23604,23859,23464,23538,5831018,-0.0021620246725168046
2015-10-30,23469,23662,23454,23645,6977348,0.004545840768119591
2015-11-02,23568,23639,23491,23589,3308703,-0.002368365404948225
2015-11-03,23742,23883,23727,23812,4514609,0.009453558862181577
2015-11-04,23883,23920,23714,23807,7778111,-0.000209978162271085
2015-11-05,23746,23790,23634,23773,4738241,-0.0014281513840467275
2015-11-06,23727,23790,23558,23619,3718448,-0.006477937155596636
2015-11-09,23548,23595,23431,23528,5320240,-0.0038528303484482995
2015-11-10,23397,23397,23167,23183,4346839,-0.014663379802788201
2015-11-11,23133,23228,23024,23150,6154272,-0.001423456843376636
2015-11-12,23138,23194,23091,23188,3680370,0.0016414686825054758
2015-11-13,22935,23011,22864,22869,3819027,-0.01375711574952565
2015-11-16,22610,22756,22596,22615,6331940,-0.01110673837946563
2015-11-17,22813,22874,22727,22807,6450613,0.008489940305107302
2015-11-18,22752,22850,22727,22746,3103197,-0.0026746174420134716
2015-11-19,22949,23063,22855,23052,3324508,0.013452914798206317
2015-11-20,23086,23133,23048,23091,2751513,0.00169182717334726
2015-11-23,23133,23279,23124,23240,2850331,0.006452730501061099
2015-11-24,23238,23350,23228,23344,3475185,0.00447504302925994
2015-11-25,23327,23340,23233,23325,4145299,-0.0008139136394791358
2015-11-26,23340,23604,23336,23599,4867706,0.011747052518756629
2015-11-27,23614,23643,23525,23543,7219909,-0.002372981906012983
2015-11-30,23435,23440,22986,23096,5439541,-0.018986535275878236
2015-12-01,23157,23469,23157,23433,6721369,0.014591271215794954
2015-12-02,23431,23445,23279,23282,4396713,-0.006443903896214742
2015-12-03,23138,23138,22920,23076,6307010,-0.008848037110213869
2015-12-04,22813,22949,22799,22831,10029986,-0.010617091350320629
2015-12-07,22981,23001,22747,22751,5700725,-0.0035040077088169808
2015-12-08,22722,22850,22596,22643,6643175,-0.004747044085974261
2015-12-09,22656,22713,22596,22638,3655477,-0.00022081879609592292
2015-12-10,22628,22828,22553,22775,8971616,0.006051771357893809
2015-12-11,22727,22874,22660,22728,5556114,-0.002063666300768374
2015-12-14,22530,22548,22384,22533,7310410,-0.008579725448785602
2015-12-15,22614,22656,22510,22576,5300412,0.00190831225313981
2015-12-16,22761,23101,22732,23029,8567232,0.02006555634301921
2015-12-17,23129,23199,22935,23000,8313169,-0.0012592817751531094
2015-12-18,22804,23072,22789,22959,4098799,-0.0017826086956521658
2015-12-21,22976,23133,22831,23062,4752517,0.004486258112287089
2015-12-22,23019,23129,22901,23096,5232030,0.0014742867054027275
2015-12-23,23157,23387,23129,23330,8991592,0.010131624523727067
2015-12-24,23435,23459,23175,23178,11424211,-0.006515216459494266
2015-12-28,23194,23228,22864,22869,6297037,-0.013331607558892067
2015-12-29,22920,23072,22840,23076,4947236,0.009051554506100068
2015-12-30,23129,23185,22944,22959,7619883,-0.005070202808112323
2016-01-04,22879,22888,22487,22491,6928106,-0.020384163073304595
2016-01-05,22444,22708,22444,22634,12419517,0.006358098795073541
2016-01-06,22628,22651,22350,22468,10875053,-0.007334099142882411
